compressor_library,compressor_codec,compressor_version,compressor_flags,compression_speed,decompression_speed,original_size,compressed_size,compression_ratio,dataset
brotli,brotli,1.0.7,-0,4812.09,597.02,100000,88,0.09,artificial/aaa.txt
brotli,brotli,1.0.7,-1,4352.94,594.42,100000,23,0.02,artificial/aaa.txt
brotli,brotli,1.0.7,-2,1031.49,586.62,100000,23,0.02,artificial/aaa.txt
brotli,brotli,1.0.7,-3,982.97,595.31,100000,13,0.01,artificial/aaa.txt
brotli,brotli,1.0.7,-4,1360.25,595.37,100000,13,0.01,artificial/aaa.txt
brotli,brotli,1.0.7,-5,1253.78,595.39,100000,13,0.01,artificial/aaa.txt
brotli,brotli,1.0.7,-6,1255.04,595.79,100000,13,0.01,artificial/aaa.txt
brotli,brotli,1.0.7,-7,796.95,595.27,100000,13,0.01,artificial/aaa.txt
brotli,brotli,1.0.7,-8,1270.24,595.42,100000,13,0.01,artificial/aaa.txt
brotli,brotli,1.0.7,-9,1156.47,595.43,100000,13,0.01,artificial/aaa.txt
brotli,brotli,1.0.7,-10,14.78,595.41,100000,14,0.01,artificial/aaa.txt
brotli,brotli,1.0.7,-11,11.06,595.49,100000,14,0.01,artificial/aaa.txt
crush,crush,1.0,-0,13.24,737.71,100000,555,0.56,artificial/aaa.txt
crush,crush,1.0,-1,13.33,737.71,100000,555,0.56,artificial/aaa.txt
crush,crush,1.0,-2,13.26,737.73,100000,555,0.56,artificial/aaa.txt
csc,csc,2016-10-13,-1,280.54,631.67,100000,94,0.09,artificial/aaa.txt
csc,csc,2016-10-13,-2,268.37,631.79,100000,94,0.09,artificial/aaa.txt
csc,csc,2016-10-13,-3,268.65,631.62,100000,94,0.09,artificial/aaa.txt
csc,csc,2016-10-13,-4,268.36,631.66,100000,94,0.09,artificial/aaa.txt
csc,csc,2016-10-13,-5,214.79,631.85,100000,93,0.09,artificial/aaa.txt
density,density,0.14.2,-1,1666.42,1942.09,100000,53138,53.14,artificial/aaa.txt
density,density,0.14.2,-2,1784.6,1172.29,100000,6270,6.27,artificial/aaa.txt
density,density,0.14.2,-3,663.64,495,100000,3142,3.14,artificial/aaa.txt
fastlz,fastlz,0.1,-1,1780.4,1472.75,100000,1153,1.15,artificial/aaa.txt
fastlz,fastlz,0.1,-2,2803.48,29568.3,100000,402,0.4,artificial/aaa.txt
gipfeli,gipfeli,2016-07-13,,4646.84,2321.8,100000,4914,4.91,artificial/aaa.txt
lz4,lz4,1.8.3,,13633.27,5262.33,100000,403,0.4,artificial/aaa.txt
lz4fast,lz4fast,1.8.3,-10,13629.55,5262.88,100000,403,0.4,artificial/aaa.txt
lz4fast,lz4fast,1.8.3,-20,13734.38,5261.22,100000,403,0.4,artificial/aaa.txt
lz4fast,lz4fast,1.8.3,-30,13631.41,5261.5,100000,403,0.4,artificial/aaa.txt
lz4fast,lz4fast,1.8.3,-40,13644.43,5261.77,100000,403,0.4,artificial/aaa.txt
lz4fast,lz4fast,1.8.3,-50,13650.01,5261.77,100000,403,0.4,artificial/aaa.txt
lz4fast,lz4fast,1.8.3,-60,13612.85,5261.5,100000,403,0.4,artificial/aaa.txt
lz4fast,lz4fast,1.8.3,-70,13653.74,5267.32,100000,403,0.4,artificial/aaa.txt
lz4fast,lz4fast,1.8.3,-80,13629.55,5263.16,100000,403,0.4,artificial/aaa.txt
lz4fast,lz4fast,1.8.3,-90,13736.26,5261.5,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-1,7107.83,5261.22,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-2,7144.39,5262.6,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-3,7116.93,5263.71,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-4,7095.72,5262.6,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-5,7093.2,5261.77,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-6,7088.18,5259.56,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-7,7130.12,5263.16,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-8,7153.59,5261.22,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-9,7140.31,5264.27,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-10,7145.92,5262.33,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-11,7134.7,5262.88,100000,403,0.4,artificial/aaa.txt
lz4hc,lz4hc,1.8.3,-12,7152.05,5260.94,100000,403,0.4,artificial/aaa.txt
lzf,lzf,3.6,-0,1386.98,738.68,100000,1143,1.14,artificial/aaa.txt
lzf,lzf,3.6,-1,1315.34,738.67,100000,1143,1.14,artificial/aaa.txt
lzfse,lzfse,2017-03-08,,119.48,708.42,100000,204,0.2,artificial/aaa.txt
lzg,lzg,1.0.8,-1,270.09,719.01,100000,1587,1.59,artificial/aaa.txt
lzg,lzg,1.0.8,-2,269.67,719.28,100000,1587,1.59,artificial/aaa.txt
lzg,lzg,1.0.8,-3,268.46,719.28,100000,1587,1.59,artificial/aaa.txt
lzg,lzg,1.0.8,-4,266.36,718.98,100000,1587,1.59,artificial/aaa.txt
lzg,lzg,1.0.8,-5,262.53,719.08,100000,1587,1.59,artificial/aaa.txt
lzg,lzg,1.0.8,-6,255.93,719.28,100000,1587,1.59,artificial/aaa.txt
lzg,lzg,1.0.8,-7,245.85,719.24,100000,1587,1.59,artificial/aaa.txt
lzg,lzg,1.0.8,-8,228.11,718.96,100000,1587,1.59,artificial/aaa.txt
lzg,lzg,1.0.8,-9,197.25,719.05,100000,1587,1.59,artificial/aaa.txt
lzham,lzham,1.0,-d26,18.91,3480.08,100000,156,0.16,artificial/aaa.txt
lzham,lzham,1.0,-d26,18.73,3477.17,100000,156,0.16,artificial/aaa.txt
lzham,lzham,1.0,-d26,18.74,3469.69,100000,156,0.16,artificial/aaa.txt
lzham,lzham,1.0,-d26,18.4,3474.03,100000,156,0.16,artificial/aaa.txt
lzham,lzham,1.0,-d26,18.4,3462.36,100000,156,0.16,artificial/aaa.txt
lzjb,lzjb,2010,,1884.84,1571.24,100000,3231,3.23,artificial/aaa.txt
lzlib,lzlib,1.8,-0,120.4,248.93,100000,116,0.12,artificial/aaa.txt
lzlib,lzlib,1.8,-1,52.61,249.01,100000,116,0.12,artificial/aaa.txt
lzlib,lzlib,1.8,-2,51.19,248.97,100000,116,0.12,artificial/aaa.txt
lzlib,lzlib,1.8,-3,48.61,249.01,100000,116,0.12,artificial/aaa.txt
lzlib,lzlib,1.8,-4,43.89,249,100000,116,0.12,artificial/aaa.txt
lzlib,lzlib,1.8,-5,37.41,249.01,100000,116,0.12,artificial/aaa.txt
lzlib,lzlib,1.8,-6,28.26,249.03,100000,116,0.12,artificial/aaa.txt
lzlib,lzlib,1.8,-7,17.65,249.05,100000,116,0.12,artificial/aaa.txt
lzlib,lzlib,1.8,-8,11.38,249.03,100000,116,0.12,artificial/aaa.txt
lzlib,lzlib,1.8,-9,6.35,249.04,100000,116,0.12,artificial/aaa.txt
lzma,lzma,16.04,-0,203.5,669.96,100000,89,0.09,artificial/aaa.txt
lzma,lzma,16.04,-1,203.22,669.55,100000,89,0.09,artificial/aaa.txt
lzma,lzma,16.04,-2,199.71,668.98,100000,89,0.09,artificial/aaa.txt
lzma,lzma,16.04,-3,182.82,668.96,100000,89,0.09,artificial/aaa.txt
lzma,lzma,16.04,-4,118.39,668.94,100000,89,0.09,artificial/aaa.txt
lzma,lzma,16.04,-5,6,668.99,100000,89,0.09,artificial/aaa.txt
lzma,lzma,16.04,-6,3.28,668.94,100000,89,0.09,artificial/aaa.txt
lzma,lzma,16.04,-7,3.1,668.99,100000,89,0.09,artificial/aaa.txt
lzma,lzma,16.04,-8,3.09,669.02,100000,89,0.09,artificial/aaa.txt
lzma,lzma,16.04,-9,3.1,668.94,100000,89,0.09,artificial/aaa.txt
lzmat,lzmat,1.01,,1816.5,738.56,100000,11,0.01,artificial/aaa.txt
lzo,lzo1,2.09,-1,2124.95,15835.31,100000,1144,1.14,artificial/aaa.txt
lzo,lzo1,2.09,-99,583.5,714.86,100000,1139,1.14,artificial/aaa.txt
lzo,lzo1a,2.09,-1,2424.01,14520.11,100000,1144,1.14,artificial/aaa.txt
lzo,lzo1a,2.09,-99,581.71,738.68,100000,1139,1.14,artificial/aaa.txt
