Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,14600.67,19135.09,100000,100000,100.00,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -0,4840.97,597.49,100000,88,0.09,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -1,600.12,594.43,100000,23,0.02,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -2,2720.87,586.52,100000,50,0.05,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -3,2757.56,595.27,100000,35,0.04,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -4,2254.33,595.73,100000,19,0.02,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -5,1583.23,596.01,100000,19,0.02,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -6,1581.98,595.94,100000,19,0.02,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -7,912.81,594.38,100000,19,0.02,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -8,1610.49,594.34,100000,19,0.02,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -9,1186.08,594.04,100000,13,0.01,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -10,14.37,595.70,100000,13,0.01,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -11,10.80,596.08,100000,13,0.01,../web/corpus/artificial/aaa.txt
crush 1.0 -0,12.92,737.92,100000,555,0.56,../web/corpus/artificial/aaa.txt
crush 1.0 -1,13.06,737.85,100000,555,0.56,../web/corpus/artificial/aaa.txt
crush 1.0 -2,12.97,737.81,100000,555,0.56,../web/corpus/artificial/aaa.txt
csc 2016-10-13 -1,280.42,631.40,100000,94,0.09,../web/corpus/artificial/aaa.txt
csc 2016-10-13 -2,268.33,631.30,100000,94,0.09,../web/corpus/artificial/aaa.txt
csc 2016-10-13 -3,267.54,631.89,100000,94,0.09,../web/corpus/artificial/aaa.txt
csc 2016-10-13 -4,267.23,632.06,100000,94,0.09,../web/corpus/artificial/aaa.txt
csc 2016-10-13 -5,212.99,631.98,100000,93,0.09,../web/corpus/artificial/aaa.txt
density 0.14.2 -1,1688.90,1941.90,100000,53138,53.14,../web/corpus/artificial/aaa.txt
density 0.14.2 -2,1829.52,1170.84,100000,6270,6.27,../web/corpus/artificial/aaa.txt
density 0.14.2 -3,663.76,495.18,100000,3142,3.14,../web/corpus/artificial/aaa.txt
